Hz,dBm
1.379120000E+07,-9.73621E+01
1.379120000E+07,-8.80908E+01
1.383100000E+07,-9.70203E+01
1.383100000E+07,-8.87103E+01
1.387080000E+07,-9.73438E+01
1.387080000E+07,-8.90826E+01
1.391060000E+07,-9.70905E+01
1.391060000E+07,-8.80115E+01
1.395040000E+07,-9.82043E+01
1.395040000E+07,-8.95831E+01
1.399020000E+07,-9.81464E+01
1.399020000E+07,-8.94489E+01
1.403000000E+07,-9.96143E+01
1.403000000E+07,-8.99158E+01
1.406980000E+07,-9.69714E+01
1.406980000E+07,-8.86066E+01
1.410960000E+07,-9.78473E+01
1.410960000E+07,-8.90826E+01
1.414940000E+07,-9.71393E+01
1.414940000E+07,-8.96930E+01
1.418920000E+07,-9.73895E+01
1.418920000E+07,-9.02637E+01
1.422900000E+07,-9.63855E+01
1.422900000E+07,-8.77795E+01
1.426880000E+07,-9.64954E+01
1.426880000E+07,-9.00989E+01
1.430860000E+07,-9.55493E+01
1.430860000E+07,-8.70776E+01
1.434840000E+07,-9.95959E+01
1.434840000E+07,-8.94214E+01
1.438820000E+07,-1.00035E+02
1.438820000E+07,-8.94855E+01
1.442800000E+07,-9.78259E+01
1.442800000E+07,-9.12433E+01
1.446780000E+07,-9.92053E+01
1.446780000E+07,-8.89484E+01
1.450760000E+07,-9.88971E+01
1.450760000E+07,-9.03583E+01
1.454740000E+07,-9.69287E+01
1.454740000E+07,-8.76819E+01
1.458720000E+07,-9.92175E+01
1.458720000E+07,-9.15240E+01
1.462700000E+07,-9.57721E+01
1.462700000E+07,-8.88477E+01
1.466680000E+07,-9.43134E+01
1.466680000E+07,-8.87714E+01
1.470660000E+07,-9.82379E+01
1.470660000E+07,-8.90155E+01
1.474640000E+07,-9.99683E+01
1.474640000E+07,-8.81915E+01
1.478620000E+07,-9.74658E+01
1.478620000E+07,-8.92902E+01
1.482600000E+07,-9.93030E+01
1.482600000E+07,-8.85608E+01
1.486580000E+07,-9.55280E+01
1.486580000E+07,-8.83197E+01
1.490560000E+07,-9.59094E+01
1.490560000E+07,-8.87317E+01
1.494540000E+07,-9.74261E+01
1.494540000E+07,-9.00714E+01
1.498520000E+07,-9.88330E+01
1.498520000E+07,-9.14752E+01
1.502500000E+07,-9.46399E+01
1.502500000E+07,-8.83746E+01
1.506480000E+07,-9.38739E+01
1.506480000E+07,-8.95343E+01
1.510460000E+07,-9.70874E+01
1.510460000E+07,-8.99585E+01
1.514440000E+07,-9.79449E+01
1.514440000E+07,-9.10815E+01
1.518420000E+07,-9.96478E+01
1.518420000E+07,-8.87408E+01
1.522400000E+07,-9.66144E+01
1.522400000E+07,-8.92902E+01
1.526380000E+07,-9.91809E+01
1.526380000E+07,-8.86432E+01
1.530360000E+07,-9.78778E+01
1.530360000E+07,-9.10724E+01
1.534340000E+07,-9.92725E+01
1.534340000E+07,-8.86096E+01
1.538320000E+07,-9.59338E+01
1.538320000E+07,-8.93481E+01
1.542300000E+07,-9.62085E+01
